#"Progress (%)"	"Step"	"Potential Energy (kJ/mole)"	"Temperature (K)"	"Speed (ns/day)"
6.9%	343000	-107424.89832319389	292.3597229522215	561
6.9%	344000	-108248.42475752602	298.1697604106782	561
6.9%	345000	-107673.97771142889	307.61363562671187	561
6.9%	346000	-107610.31937777158	298.3097145288186	561
6.9%	347000	-107266.91898754006	297.38354751267735	561
7.0%	348000	-108102.67551347613	298.88844449643545	561
7.0%	349000	-107579.87575897924	302.42187275535093	561
7.0%	350000	-107944.40723820706	301.6557700791885	561
7.0%	351000	-107823.33546539163	302.76275906342534	561
7.0%	352000	-107984.84801652678	303.9756323229911	561
7.1%	353000	-107106.09797326731	302.481393665326	561
7.1%	354000	-107887.34014479723	307.0894355595684	561
7.1%	355000	-108456.14165102807	298.3319711058057	561
7.1%	356000	-107997.2342776095	301.09918494448533	561
7.1%	357000	-107904.61727993959	304.5525076077501	561
7.2%	358000	-107344.75652584946	298.3906105709271	561
7.2%	359000	-107097.471258373	295.5899000718674	561
7.2%	360000	-108028.3770799858	298.69529028068797	561
7.2%	361000	-108478.88841835363	296.4103174313439	561
7.2%	362000	-108119.9356435216	300.6647566005547	561
7.3%	363000	-107784.04596769623	303.8201209957492	561
7.3%	364000	-108287.73465771298	298.2027292839469	561
7.3%	365000	-108617.5164736202	295.4709823191533	561
7.3%	366000	-108017.22598700132	298.04666437915057	561
7.3%	367000	-108287.83105259901	301.56340889271553	561
7.4%	368000	-108216.00980529888	305.2968137169413	561
7.4%	369000	-108074.37060072529	296.26399301285346	561
7.4%	370000	-108173.81953864451	300.42846928347967	561
7.4%	371000	-108194.94823523634	295.31480046384587	561
7.4%	372000	-107495.56463916693	302.1297808206701	561
7.5%	373000	-107312.89999423968	300.69763126272665	561
7.5%	374000	-107760.43190620816	302.0281208653495	561
7.5%	375000	-107955.80919164862	294.4408248533116	561
7.5%	376000	-107856.9996884074	310.0207611026807	561
7.5%	377000	-107855.82468047715	301.39685887052735	561
7.6%	378000	-107917.60147164576	301.7383394897288	561
7.6%	379000	-108553.41671207012	300.58803607209006	561
7.6%	380000	-108239.79556586663	298.83557119895266	560
7.6%	381000	-107711.1131209163	301.4783601334252	560
7.6%	382000	-107626.42063933844	298.67067308438027	560
7.7%	383000	-107615.44597727805	303.0289814759825	560
7.7%	384000	-107297.70398004982	301.3410443815921	560
7.7%	385000	-107478.84267793386	305.559130353591	560
7.7%	386000	-107668.53264435707	299.1433077944122	560
7.7%	387000	-108225.9722491717	303.9535396592898	560
7.8%	388000	-108742.85145068704	299.0504998475732	560
7.8%	389000	-108465.15578097105	294.39622773975736	560
7.8%	390000	-108249.09913125215	294.58401521876965	560
7.8%	391000	-108441.93468335993	297.8476543596466	560
7.8%	392000	-108450.06379309669	295.2946002043167	560
7.9%	393000	-108463.53777712723	301.70563345344976	560
7.9%	394000	-108096.72512055095	296.7946725556488	560
7.9%	395000	-108708.67800329719	298.26974374019323	560
7.9%	396000	-108355.11929297494	300.0301343990798	560
7.9%	397000	-108289.97880485584	308.4614617813404	560
8.0%	398000	-107973.6215721143	296.55480257989984	560
8.0%	399000	-108343.27903272328	296.2096105698624	560
8.0%	400000	-107435.54925416154	301.9732390472384	560
8.0%	401000	-108243.1838994911	300.572191484203	560
8.0%	402000	-107828.81073825806	304.08214876782654	560
8.1%	403000	-107407.7332355543	302.126854893048	560
8.1%	404000	-107875.3961881178	294.7390185063336	560
8.1%	405000	-107889.88020319305	304.6559467502746	560
8.1%	406000	-107698.61363393557	298.8752723303334	560
8.1%	407000	-107728.04825295694	303.1423527675984	560
8.2%	408000	-107558.9396250085	298.36207480344245	560
8.2%	409000	-106979.20973708993	296.46648997989183	560
8.2%	410000	-107502.8049756838	307.2170260532456	560
8.2%	411000	-107834.80779551924	305.76597023422283	560
8.2%	412000	-107835.94995867461	307.115575266858	560
8.3%	413000	-107933.42248404794	300.70742116221714	560
8.3%	414000	-107584.49006407219	296.5733725903497	560
8.3%	415000	-107692.73430300225	296.71143664623105	560
8.3%	416000	-107515.39214689005	301.900357563216	560
8.3%	417000	-107879.63883925811	309.5316103534939	560
8.4%	418000	-107974.12105086911	293.83068813303663	560
8.4%	419000	-107949.4840877899	298.2235961000492	560
8.4%	420000	-107795.93682760606	300.0454298530106	560
8.4%	421000	-108125.92987663858	301.3477318628649	560
8.4%	422000	-107734.75199159863	298.1998680407813	560
8.5%	423000	-107260.16443251679	302.7954712033838	560
8.5%	424000	-108144.02564462507	300.2097468664964	560
8.5%	425000	-108005.868257639	301.2806655976734	560
8.5%	426000	-107805.80388735677	302.95639217472433	560
8.5%	427000	-107817.8810105219	302.9875765320777	560
8.6%	428000	-108047.13827894093	299.2383057085505	560
8.6%	429000	-107730.83204499981	305.20518283532186	560
8.6%	430000	-107446.3626019205	299.0332509203795	560
8.6%	431000	-108047.24129453395	301.764331280832	560
8.6%	432000	-107643.89267658629	300.1768488000512	560
8.7%	433000	-107828.46886071074	305.5874435398572	560
8.7%	434000	-107760.60840030597	300.7409602638388	559
8.7%	435000	-107717.49209799874	302.42239824344296	559
8.7%	436000	-107414.5064742614	304.6352877191	559
8.7%	437000	-108132.22195989243	298.92560771476155	559
8.8%	438000	-107976.31846523215	306.89511619136414	559
8.8%	439000	-107897.88782174257	305.22270883008844	559
8.8%	440000	-107990.7241265527	303.8711652334675	559
8.8%	441000	-108134.69002535217	302.8675399915043	559
8.8%	442000	-107523.74395768275	298.49933677865425	559
8.9%	443000	-107469.29394760588	295.49881148106033	559
8.9%	444000	-107468.74441760709	292.49604258492565	559
8.9%	445000	-107983.40551511478	298.89717887409716	559
