#"Progress (%)"	"Step"	"Potential Energy (kJ/mole)"	"Temperature (K)"	"Speed (ns/day)"
4.0%	202000	-107841.67690904299	298.5146630942227	647
4.1%	203000	-107660.02375929593	293.2487109019959	646
4.1%	204000	-108275.01291801012	304.2517905196583	646
4.1%	205000	-108813.38345284341	303.58714376666575	646
4.1%	206000	-108295.40147279203	301.8655631130941	646
4.1%	207000	-108082.69526736601	300.5768333320759	646
4.2%	208000	-108162.15032820217	304.98235209951474	645
4.2%	209000	-107926.22747644852	303.4292182418619	645
4.2%	210000	-108158.12778634438	296.52333577505726	645
4.2%	211000	-107655.99028927507	301.20546977595404	645
4.2%	212000	-107846.9976520366	310.0628492320695	645
4.3%	213000	-107618.13383604679	296.6504988011298	645
4.3%	214000	-107782.08608362451	290.51777270960275	645
4.3%	215000	-108382.73402868933	293.81754090726827	645
4.3%	216000	-108266.44550427888	297.81799775118105	645
4.3%	217000	-108542.77587134182	304.3314651122877	644
4.4%	218000	-108112.94228842319	302.7403528551586	644
4.4%	219000	-107974.95041066245	301.5070833660776	644
4.4%	220000	-108185.14253288228	295.4160882838023	644
4.4%	221000	-108120.64048255142	302.7112601088876	644
4.4%	222000	-107774.53295663954	293.7883058327894	644
4.5%	223000	-107922.67496583192	303.3045049851527	644
4.5%	224000	-108126.3425411142	294.54081905149854	644
4.5%	225000	-108170.09554789402	300.15448812576005	644
4.5%	226000	-108042.21253990289	304.9697571794918	643
4.5%	227000	-107628.67818645202	296.6301935970917	643
4.6%	228000	-107724.6310034974	296.57207165582014	643
4.6%	229000	-108246.12888571876	300.29441783534025	643
4.6%	230000	-108351.94835562957	297.80503462168895	643
4.6%	231000	-107944.20623465348	302.8622154722119	643
4.6%	232000	-107644.38540788041	304.3388847759037	643
4.7%	233000	-107867.84910075739	301.10664916675375	643
4.7%	234000	-108402.85861283448	299.7876484555011	642
4.7%	235000	-107910.08414420532	302.04614941799315	642
4.7%	236000	-108183.96165888617	299.41798084315303	642
4.7%	237000	-108365.21661496861	305.0362603339128	642
4.8%	238000	-107824.47022689506	303.30687794553256	642
4.8%	239000	-107938.6248141774	301.0983433945083	642
4.8%	240000	-107975.8377774295	300.5549012088041	642
4.8%	241000	-108366.8550586875	302.00123643316414	642
4.8%	242000	-108170.46046636975	298.358457714252	642
4.9%	243000	-108224.67643074784	291.93985596063493	641
4.9%	244000	-108199.93017481384	301.1808186234447	641
4.9%	245000	-107822.23983264179	292.4635227719403	641
4.9%	246000	-108010.05042922962	297.6428378508319	641
4.9%	247000	-108588.09646285512	296.5981496178125	641
5.0%	248000	-107715.18785234378	296.24839830531346	641
5.0%	249000	-108135.3050565233	299.99397190471035	641
5.0%	250000	-108403.27629263629	299.26736011314097	641
5.0%	251000	-107804.59974188893	296.08252601049276	641
5.0%	252000	-107540.1997208721	296.13571755539533	641
5.1%	253000	-108001.90290694335	303.0319768476576	640
5.1%	254000	-107786.96004039398	303.4831658711363	640
5.1%	255000	-107875.68988514761	304.8865835771002	640
5.1%	256000	-107657.64597143629	301.84823031922457	640
5.1%	257000	-107602.60396699584	302.732204609051	640
5.2%	258000	-107892.01652332861	302.54795034209735	640
5.2%	259000	-108057.75609761919	300.17640941596017	640
5.2%	260000	-107904.63468801836	297.39253458995864	640
5.2%	261000	-107175.89007421653	304.99795085601636	640
5.2%	262000	-107525.78888075543	299.52122740961426	640
5.3%	263000	-108058.51819138601	293.4080899015541	640
5.3%	264000	-107655.85904733045	301.2647971747053	639
5.3%	265000	-107700.74392523267	300.5129744300336	639
5.3%	266000	-107946.00593696092	303.80854638242204	639
5.3%	267000	-107756.79373670509	299.2454812917643	639
